place_id,name,description,is_spending_on_ads,reviews,rating,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJW0EJK3YWrjsRpa39RV0Fy-8,"Lotus Pavilion, ITC Gardenia - Restaurants In Bengaluru","The multi-pillared Lotus Pavilion has sloping roofs covered with a lawn of fresh green grass aptly referred to as a 'Living Room with a Living Roof'. A delightful meeting place over tea or to raise a toast.

Framed by the wind-cooled lobby of the hotel and the first sight to greet our patrons, the Lotus Pavilion is a celebration of all that ITC Gardenia stands for- the best of nature in an environment that expresses the best of human endeavor. It offers the perfect setting for basking in Bengaluru's fabulous weather.",,3114,4.5,"Name: JW Kitchen
Link: https://www.google.com/maps/search/JW+Kitchen/@12.9720666,77.5948722?authuser=0&hl=en&entry=ttu
Reviews: 3706 reviews

Name: Spice Terrace
Link: https://www.google.com/maps/search/Spice+Terrace/@12.972144199999999,77.594923?authuser=0&hl=en&entry=ttu
Reviews: 2425 reviews

Name: The Raj Pavillion
Link: https://www.google.com/maps/search/The+Raj+Pavillion/@12.9940336,77.5855689?authuser=0&hl=en&entry=ttu
Reviews: 649 reviews

Name: Cubbon Pavilion - ITC Gardenia
Link: https://www.google.com/maps/search/Cubbon+Pavilion+-+ITC+Gardenia/@12.9669189,77.595728?authuser=0&hl=en&entry=ttu
Reviews: 142 reviews",https://www.itchotels.com/in/en/itcgardenia-bengaluru,080 2211 9898,,"Lotus Pavilion, ITC Gardenia - Restaurants In Bengaluru (Owner)",https://www.google.com/maps/contrib/112119422148710249196,https://lh3.googleusercontent.com/p/AF1QipNew8GKRxBoFFQjdD57xyvOjtUGE2kgCiWsl1ZU=s1024,European restaurant,"European restaurant, Fine dining restaurant",7 am-1 am,,Open All Days,"1, Residency Rd, Ashok Nagar, Bengaluru, Karnataka 560025","buffet, sushi, spread, sashimi, management, bento boxes, biryani, tempura, property, dal makhni","https://www.google.com/maps/place/Lotus+Pavilion,+ITC+Gardenia+-+Restaurants+In+Bengaluru/data=!4m7!3m6!1s0x3bae16762b09415b:0xefcb055d45fdada5!8m2!3d12.9670001!4d77.5957737!16s%2Fg%2F11c2q5f46m!19sChIJW0EJK3YWrjsRpa39RV0Fy-8?authuser=0&hl=en&rclk=1",resturants in bangalore
ChIJ5QD7Rn4WrjsRH_yAmEEDe3c,"Karavalli - Vivanta Bengaluru, Residency Road","Regional dishes from southwest India are featured at this classic, refined hotel restaurant.",,4767,4.6,"Name: Vembanad
Link: https://www.google.com/maps/search/Vembanad/@12.9537976,77.6397047?authuser=0&hl=en&entry=ttu
Reviews: 1770 reviews

Name: Karavali Fine Dine Restaurant - Kormangala
Link: https://www.google.com/maps/search/Karavali+Fine+Dine+Restaurant+-+Kormangala/@12.9357584,77.6077006?authuser=0&hl=en&entry=ttu
Reviews: 1406 reviews

Name: Karavali Lunch Home
Link: https://www.google.com/maps/search/Karavali+Lunch+Home/@12.9983715,77.56977309999999?authuser=0&hl=en&entry=ttu
Reviews: 1193 reviews

Name: New Karavalli
Link: https://www.google.com/maps/search/New+Karavalli/@13.0300151,77.6343447?authuser=0&hl=en&entry=ttu
Reviews: 904 reviews

Name: Karavali Fine Dine
Link: https://www.google.com/maps/search/Karavali+Fine+Dine/@12.972933999999999,77.6093413?authuser=0&hl=en&entry=ttu
Reviews: 131 reviews",https://www.vivantahotels.com/en-in/hotels/vivanta-bengaluru-residency-road/restaurants/karavalli-bengaluru-residency-road?utm_source=google&utm_medium=local&utm_campaign=karavalli-bengaluru-residency-road-cla&utm_content=karavalli-bengaluru-residency-road-cla-gmb,080666 04545,,"Karavalli - Vivanta Bengaluru, Residency Road (Owner)",https://www.google.com/maps/contrib/107437775316576137466,https://lh3.googleusercontent.com/p/AF1QipNGnYUewwXD414o0izow6pvxksS8UnQcJEvQUCO=s1024,South Indian restaurant,South Indian restaurant,12-11:30 pm,,Open All Days,"Vivanta, 66, Residency Rd, Srinivas Nagar, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025","sea food, coastal, ganesh, neer dosa, garden, nagesh, prawn ghee roast, tiger prawns, waterfall, kori rotti","https://www.google.com/maps/place/Karavalli+-+Vivanta+Bengaluru,+Residency+Road/data=!4m7!3m6!1s0x3bae167e46fb00e5:0x777b03419880fc1f!8m2!3d12.9724473!4d77.6086535!16s%2Fg%2F11b75nr421!19sChIJ5QD7Rn4WrjsRH_yAmEEDe3c?authuser=0&hl=en&rclk=1",resturants in bangalore
ChIJc_4WSHcWrjsR7wdB6_Dms58,Spice Terrace,"Inspired by the centuries-old recipes from the land of spices, Spice Terrace offers authentic flavours from North India. It also presents an extensive beverage collection which complements your food, offering a refreshing take on authentic Indian fare. The outdoor heated pool, a premium bar and the poolside cabanas provide the perfect setting to enjoy Bangalore's pleasant weather.",,2427,4.4,"Name: The 13th Floor
Link: https://www.google.com/maps/search/The+13th+Floor/@12.9753223,77.6050521?authuser=0&hl=en&entry=ttu
Reviews: 10438 reviews

Name: Olive Beach
Link: https://www.google.com/maps/search/Olive+Beach/@12.966892,77.6080844?authuser=0&hl=en&entry=ttu
Reviews: 8205 reviews

Name: JW Kitchen
Link: https://www.google.com/maps/search/JW+Kitchen/@12.9720666,77.5948722?authuser=0&hl=en&entry=ttu
Reviews: 3706 reviews

Name: Lotus Pavilion, ITC Gardenia - Restaurants In Bengaluru
Link: https://www.google.com/maps/search/Lotus+Pavilion%2C+ITC+Gardenia+-+Restaurants+In+Bengaluru/@12.9670001,77.5957737?authuser=0&hl=en&entry=ttu
Reviews: 3110 reviews

Name: The Raj Pavillion
Link: https://www.google.com/maps/search/The+Raj+Pavillion/@12.9940336,77.5855689?authuser=0&hl=en&entry=ttu
Reviews: 649 reviews",http://www.sevenrooms.com/reservations/spiceterraceblrjw/spice-terrace-marriott-com,088846 75454,,Spice Terrace (Owner),https://www.google.com/maps/contrib/115468705821116113938,,North Indian restaurant,"North Indian restaurant, Indian restaurant, Lounge",6:30-11 pm,,Open All Days,"24, JW Marriott Bengaluru, 1, Vittal Mallya Rd, Ashok Nagar, Bengaluru, Karnataka 560001","pool, romantic, music, anniversary, book, cocktails, brewing, craft beer, candle, jw marriott",https://www.google.com/maps/place/Spice+Terrace/data=!4m7!3m6!1s0x3bae16774816fe73:0x9fb3e6f0eb4107ef!8m2!3d12.9721442!4d77.594923!16s%2Fg%2F1z44bkl0g!19sChIJc_4WSHcWrjsR7wdB6_Dms58?authuser=0&hl=en&rclk=1,resturants in bangalore
ChIJtaD5hvYXrjsR9cjAAhH58Gg,The Raj Pavillion,,,658,4.3,"Name: JW Kitchen
Link: https://www.google.com/maps/search/JW+Kitchen/@12.9720666,77.5948722?authuser=0&hl=en&entry=ttu
Reviews: 3706 reviews

Name: Lotus Pavilion, ITC Gardenia - Restaurants In Bengaluru
Link: https://www.google.com/maps/search/Lotus+Pavilion%2C+ITC+Gardenia+-+Restaurants+In+Bengaluru/@12.9670001,77.5957737?authuser=0&hl=en&entry=ttu
Reviews: 3110 reviews

Name: Spice Terrace
Link: https://www.google.com/maps/search/Spice+Terrace/@12.972144199999999,77.594923?authuser=0&hl=en&entry=ttu
Reviews: 2425 reviews

Name: Dakshin
Link: https://www.google.com/maps/search/Dakshin/@12.9941649,77.5858835?authuser=0&hl=en&entry=ttu
Reviews: 498 reviews

Name: The Royal Afghan
Link: https://www.google.com/maps/search/The+Royal+Afghan/@12.9942386,77.58611429999999?authuser=0&hl=en&entry=ttu
Reviews: 312 reviews",,080 6140 1224,,The Raj Pavillion (Owner),https://www.google.com/maps/contrib/108985840254915671980,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no7MOW_mGdN7srXgYvZW3EW-ZnhPmw8MPBicaCA1DZtt-xis-KsmGUDV_n5wvnud9VLmlQMz8MbHcpZDuQNYpBo1ulS245zlKgxqYgzY3rSIOnOPDf4oHBAfNNU4WWMCm6hB3txOe6TsgYq=s1024,North Indian restaurant,North Indian restaurant,7 am-11:30 pm,,Open All Days,"ITC WINDSOR, Abshot Layout, Vasanth Nagar, Bengaluru, Karnataka 560001","buffet, breakfast, spread, brunch, starters, review, ala carte, anniversary, choice, interiors",https://www.google.com/maps/place/The+Raj+Pavillion/data=!4m7!3m6!1s0x3bae17f686f9a0b5:0x68f0f91102c0c8f5!8m2!3d12.9940336!4d77.5855689!16s%2Fg%2F11rkj9n0mv!19sChIJtaD5hvYXrjsR9cjAAhH58Gg?authuser=0&hl=en&rclk=1,resturants in bangalore
ChIJ897J43kWrjsRwLzr4oSg67c,Shiro Bengaluru,"Shiro, an exquisite lounge in Central Bangalore, is located on Vittal Mallya Road near Shell Petrol Pump. With a relaxing ambiance, it caters to Asian cuisine enthusiasts. The restaurant offers Japanese, Chinese, and Seafood delicacies, taking guests on a delightful culinary journey. Shiro's grand interiors create an elegant atmosphere. The menu is a culinary masterpiece, featuring mouth-watering dishes blending traditional flavors with modern twists. Meticulously prepared with fresh ingredients, the dining experience is exceptional. From sushi rolls to dim sum and sashimi to seafood delights, Shiro satisfies discerning palates.",,5447,4.4,"Name: Spice Terrace
Link: https://www.google.com/maps/search/Spice+Terrace/@12.972144199999999,77.594923?authuser=0&hl=en&entry=ttu
Reviews: 2425 reviews

Name: Harima Japanese Restaurant
Link: https://www.google.com/maps/search/Harima+Japanese+Restaurant/@12.9674947,77.5999755?authuser=0&hl=en&entry=ttu
Reviews: 2212 reviews

Name: Azukii Bistro
Link: https://www.google.com/maps/search/Azukii+Bistro/@12.9612912,77.6047712?authuser=0&hl=en&entry=ttu
Reviews: 1814 reviews

Name: Daily Sushi - Church Street
Link: https://www.google.com/maps/search/Daily+Sushi+-+Church+Street/@12.9757722,77.6026466?authuser=0&hl=en&entry=ttu
Reviews: 1585 reviews

Name: Sriracha
Link: https://www.google.com/maps/search/Sriracha/@12.971589499999999,77.5960585?authuser=0&hl=en&entry=ttu
Reviews: 908 reviews",https://www.instagram.com/experienceshiro/,080 4173 8861,,Shiro Bengaluru (Owner),https://www.google.com/maps/contrib/117342921817647016601,https://lh3.googleusercontent.com/p/AF1QipNqZcXhQDMq-NIhta91TqsHRwCmf4-C4_xwRGx4=s1024,Pan-Asian restaurant,"Pan-Asian restaurant, Asian restaurant, Dim sum restaurant, Restaurant, Sushi restaurant, Thai restaurant",12 pm-12 am,,Open All Days,"3rd Floor, 222, Vittal Mallya Rd, KG Halli, D' Souza Layout, Ashok Nagar, Bengaluru, Karnataka 560001","brunch, ambience, teppanyaki, sangria, statues, tiramisu, mandarin, hibachi rice, gin, wasabi prawns",https://www.google.com/maps/place/Shiro+Bengaluru/data=!4m7!3m6!1s0x3bae1679e3c9def3:0xb7eba084e2ebbcc0!8m2!3d12.9716517!4d77.5959781!16s%2Fg%2F1vgw_5mb!19sChIJ897J43kWrjsRwLzr4oSg67c?authuser=0&hl=en&rclk=1,resturants in bangalore
ChIJa8L24U0UrjsROJevWynswwQ,Fenny's Lounge & Kitchen,"Fenny's Lounge & Kitchen - One of Bangalore's top-rated rooftop restaurants and cocktail bars in the heart of Koramangala. Since 2013, we've served handcrafted cocktails, wood-fired pizzas, seafood, European, Italian & Mediterranean cuisines in a scenic open-air rooftop setting. Ideal for candlelight dinners, weekend brunches, or a lively party place with live music. Enjoy gourmet food, signature drinks & rooftop vibes perfect for romantic evenings or celebrations.

 Cocktail Bar | Rooftop Bar | Seafood Restaurant | Romantic Dinner | Party Venue | Continental & European Cuisine | Live Music | Koramangala

 Visit Fenny's - the best bar and restaurant in Bangalore for food, music & unforgettable nights.",,10989,4.3,"Name: Koramangala Social
Link: https://www.google.com/maps/search/Koramangala+Social/@12.9354765,77.6141533?authuser=0&hl=en&entry=ttu
Reviews: 25294 reviews

Name: Chianti, Koramangala
Link: https://www.google.com/maps/search/Chianti%2C+Koramangala/@12.933465,77.6219085?authuser=0&hl=en&entry=ttu
Reviews: 5382 reviews

Name: Maffei Kitchen
Link: https://www.google.com/maps/search/Maffei+Kitchen/@12.9352217,77.62260189999999?authuser=0&hl=en&entry=ttu
Reviews: 2212 reviews

Name: Jugni Kitchen & Bar
Link: https://www.google.com/maps/search/Jugni+Kitchen+%26+Bar/@12.936074600000001,77.62166599999999?authuser=0&hl=en&entry=ttu
Reviews: 404 reviews

Name: The Rooftop
Link: https://www.google.com/maps/search/The+Rooftop/@12.9342192,77.6160708?authuser=0&hl=en&entry=ttu
Reviews: 272 reviews",http://www.fennys.in/,090360 82911,,Fenny's Lounge & Kitchen (Owner),https://www.google.com/maps/contrib/105435779611059180609,https://lh3.googleusercontent.com/p/AF1QipP4hpDi5qsKTz8BKfh49k2MDKgS77TFbVIlYZLn=s1024,Cocktail bar,"Cocktail bar, Bar, Bar & grill, Continental restaurant, Dessert restaurant, European restaurant, Italian restaurant, Lounge, Mediterranean restaurant, Pizza restaurant",11:30 am-1 am,,Open All Days,"3rd Floor, WJP7+39W, 115, 80 Feet Rd, above Starbucks, 7th Block, Koramangala, Bengaluru, Karnataka 560095","pizza, roof, paneer, baked, bonsai, valet parking, baby corn, potato wedges, alfredo, chilled",https://www.google.com/maps/place/Fenny%27s+Lounge+%26+Kitchen/data=!4m7!3m6!1s0x3bae144de1f6c26b:0x4c3ec295baf9738!8m2!3d12.9352148!4d77.6134976!16s%2Fg%2F11_q5nd1c!19sChIJa8L24U0UrjsROJevWynswwQ?authuser=0&hl=en&rclk=1,resturants in bangalore
ChIJo0tJmV8VrjsR0vWuyvPK9DM,The Bangalore Cafe,"Namaskara!

We are The Bangalore Cafe. A pure vegetarian restaurant that offers a mix of authentic and experimental cuisine from across the globe!

From the Galli's of India to the streets of Italy our food ranges from North Indian, Chinese, Mexican to Italian.

We also have our Outhouse which serves quick bites like Chaats and also amazing tea/coffee.

A dessert house to cherish all your sweet cravings.

A Drive-in dining to get a feel of the old school Bangalore.

And a massive Banquet hall to host the most important days of your lives.

What more could one want?",,11261,4.2,"Name: Bengaluru Cafe
Link: https://www.google.com/maps/search/Bengaluru+Cafe/@12.9392477,77.5838674?authuser=0&hl=en&entry=ttu
Reviews: 13779 reviews

Name: Cafe Noir
Link: https://www.google.com/maps/search/Cafe+Noir/@12.9717869,77.5960995?authuser=0&hl=en&entry=ttu
Reviews: 3277 reviews

Name: Bengalore Cafe
Link: https://www.google.com/maps/search/Bengalore+Cafe/@12.9871114,77.57846400000001?authuser=0&hl=en&entry=ttu
Reviews: 1027 reviews

Name: Bengaluru Restaurant
Link: https://www.google.com/maps/search/Bengaluru+Restaurant/@12.9665998,77.5831707?authuser=0&hl=en&entry=ttu
Reviews: 467 reviews

Name: Bangalore Cafe
Link: https://www.google.com/maps/search/Bangalore+Cafe/@12.965959999999999,77.57364780000002?authuser=0&hl=en&entry=ttu
Reviews: 95 reviews",,095359 64043,,The Bangalore Cafe (Owner),https://www.google.com/maps/contrib/115946754292647265054,https://lh3.googleusercontent.com/p/AF1QipPZlMwhCRJXny9uydofCb9qI6EsgqSQktLfjxiK=s1024,Vegetarian restaurant,"Vegetarian restaurant, Banquet hall, Cafe, Dessert restaurant, Family restaurant, Fine dining restaurant, Indian restaurant, Pizza restaurant",12 pm-1 am,,Open All Days,"4, Kengal Hanumanthaiah Rd, Bheemanna Garden, Shanti Nagar, Bengaluru, Karnataka 560027","cigars, valet parking, rasmalai, cones, red bull, aam panna, litti chokha, test tubes, husky, tobacco",https://www.google.com/maps/place/The+Bangalore+Cafe/data=!4m7!3m6!1s0x3bae155f99494ba3:0x33f4caf3caaef5d2!8m2!3d12.9615596!4d77.5946966!16s%2Fg%2F11fgm5s311!19sChIJo0tJmV8VrjsR0vWuyvPK9DM?authuser=0&hl=en&rclk=1,resturants in bangalore
ChIJgVfPG7A_rjsRDPubr1BcaEY,"Coastal Chillies - Best Multicuisine Restaurant | Multi Cuisine Restaurant At Nagarabhavi, West Bengaluru","Coastal Chillies is a brand new restaurant in Nagarabhavi offering authentic, delicious food specializing in Indian, Coastal, Chinese, and Andhra cuisines.
We place utmost emphasis on hygiene and using fresh, organic produce to create culinary dishes that delight your palate!",,353,4.1,"Name: Nandhana Palace - Andhra Style Restaurant - Naagarabhaavi
Link: https://www.google.com/maps/search/Nandhana+Palace+-+Andhra+Style+Restaurant+-+Naagarabhaavi/@12.961259799999999,77.51062040000001?authuser=0&hl=en&entry=ttu
Reviews: 9885 reviews

Name: Ron Inn Multicuisine Family Restaurant
Link: https://www.google.com/maps/search/Ron+Inn+Multicuisine+Family+Restaurant/@12.9603497,77.5126832?authuser=0&hl=en&entry=ttu
Reviews: 672 reviews

Name: BETTAIAH HOTEL
Link: https://www.google.com/maps/search/BETTAIAH+HOTEL/@12.960920900000001,77.5202954?authuser=0&hl=en&entry=ttu
Reviews: 667 reviews

Name: Coastal Machili Style Mathsyagandha Family Restaurant
Link: https://www.google.com/maps/search/Coastal+Machili+Style+Mathsyagandha+Family+Restaurant/@12.960496899999999,77.5202218?authuser=0&hl=en&entry=ttu
Reviews: 3 reviews",,097439 02000,,"Coastal Chillies - Best Multicuisine Restaurant | Multi Cuisine Restaurant At Nagarabhavi, West Bengaluru (Owner)",https://www.google.com/maps/contrib/115810079469499361792,https://lh3.googleusercontent.com/p/AF1QipNiCtkrcjJvaDz8inyiZYDdnQpOAKz1-BpWDZ3R=s1024,Restaurant,"Restaurant, Andhra restaurant, Chinese restaurant, Family restaurant, North Indian restaurant, South Indian restaurant",9 am-11 pm,,Open All Days,"43/70, 2nd, Ram Mahal, 1st & 2nd Floor, &, 3rd Cross Rd, behind Nammoora Thindi, 12 Block BDA layout, NGEF Layout, Naagarabhaavi, Bengaluru, Karnataka 560072","price, neer dosa, sea food, atmosphere, biryani, hotel, hospitality, money, non veg, chicken sukka","https://www.google.com/maps/place/Coastal+Chillies+-+Best+Multicuisine+Restaurant+%7C+Multi+Cuisine+Restaurant+At+Nagarabhavi,+West+Bengaluru/data=!4m7!3m6!1s0x3bae3fb01bcf5781:0x46685c50af9bfb0c!8m2!3d12.9599873!4d77.512119!16s%2Fg%2F11tcmjwnmk!19sChIJgVfPG7A_rjsRDPubr1BcaEY?authuser=0&hl=en&rclk=1",resturants in bangalore
ChIJRWg8V-g_rjsRJdmlzBpk5Rk,Stories Bar & Kitchen - Nagarbhavi,"Experience the best of food, drinks and fun at Stories! Our lively atmosphere, delicious menu and curated drinks selection make us the go-to spot in Bangalore for a great night out. Join us and create your own story today!",,920,4.1,"Name: Stories Bar & Kitchen - Rajajinagar
Link: https://www.google.com/maps/search/Stories+Bar+%26+Kitchen+-+Rajajinagar/@13.008504799999999,77.5490447?authuser=0&hl=en&entry=ttu
Reviews: 9993 reviews

Name: STORIES BREWERY & KITCHEN
Link: https://www.google.com/maps/search/STORIES+BREWERY+%26+KITCHEN/@12.905697199999999,77.6085236?authuser=0&hl=en&entry=ttu
Reviews: 7961 reviews

Name: Sherlock's Lounge & Kitchen Nagarbhavi
Link: https://www.google.com/maps/search/Sherlock's+Lounge+%26+Kitchen+Nagarbhavi/@12.958410599999999,77.51916949999999?authuser=0&hl=en&entry=ttu
Reviews: 6215 reviews

Name: Stories Bar & Kitchen - R.R Nagar
Link: https://www.google.com/maps/search/Stories+Bar+%26+Kitchen+-+R.R+Nagar/@12.9046033,77.52681079999999?authuser=0&hl=en&entry=ttu
Reviews: 3801 reviews

Name: Cycle gap resto bar & Pub
Link: https://www.google.com/maps/search/Cycle+gap+resto+bar+%26+Pub/@12.960266599999999,77.5055009?authuser=0&hl=en&entry=ttu
Reviews: 2341 reviews",,080 4680 9512,,Stories Bar & Kitchen - Nagarbhavi (Owner),https://www.google.com/maps/contrib/113169952557650343886,https://lh3.googleusercontent.com/p/AF1QipMnhhRQPzSrDismyc3k5RGEe_q-6kZDRUWJltxv=s1024,North Indian restaurant,North Indian restaurant,12 pm-1 am,,Open All Days,"3rd Floor, C L Arcade, 857, 80 Feet Main Rd, Vinayaka Layout, 2nd Stage, Naagarabhaavi, Bengaluru, Karnataka 560072","pizza, live music, starters, mocktails, pub, service charge, DJ, beer, nachos, smoking",https://www.google.com/maps/place/Stories+Bar+%26+Kitchen+-+Nagarbhavi/data=!4m7!3m6!1s0x3bae3fe8573c6845:0x19e5641acca5d925!8m2!3d12.9608867!4d77.5073648!16s%2Fg%2F11kjhlg7x4!19sChIJRWg8V-g_rjsRJdmlzBpk5Rk?authuser=0&hl=en&rclk=1,resturants in bangalore
ChIJdz4L2VEUrjsRvSsPGCwDl2I,Truffles Koramangala,,,50075,4.5,"Name: Fenny's Lounge & Kitchen
Link: https://www.google.com/maps/search/Fenny's+Lounge+%26+Kitchen/@12.935214799999999,77.6134976?authuser=0&hl=en&entry=ttu
Reviews: 10988 reviews

Name: Chianti, Koramangala
Link: https://www.google.com/maps/search/Chianti%2C+Koramangala/@12.933465,77.6219085?authuser=0&hl=en&entry=ttu
Reviews: 5382 reviews

Name: GRILL DADDY
Link: https://www.google.com/maps/search/GRILL+DADDY/@12.911901,77.6424193?authuser=0&hl=en&entry=ttu
Reviews: 732 reviews

Name: Truffles - Bellandur (Cloud Kitchen)
Link: https://www.google.com/maps/search/Truffles+-+Bellandur+(Cloud+Kitchen)/@12.927312100000002,77.66910179999999?authuser=0&hl=en&entry=ttu
Reviews: 117 reviews

Name: Truffles - K R Puram (cloud kitchen only)
Link: https://www.google.com/maps/search/Truffles+-+K+R+Puram+(cloud+kitchen+only)/@12.9938925,77.6992047?authuser=0&hl=en&entry=ttu
Reviews: 69 reviews",http://truffles.co.in/,080 4153 6565,,Truffles Koramangala (Owner),https://www.google.com/maps/contrib/111772557232252573960,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no0G4jIPQRLNi_Pd2_pS0flLxjyvnWvqOlYRw43DbWRFz-r8SabyE8WAXtQV57LPHN0_fVgDfwtOrcPuw1KKaNPkmzsw7d1G45c9jh4tXIPcNjTvetdiQC4w2PA0B7wPL1P8bE=s1024,Continental restaurant,"Continental restaurant, American restaurant, Cafe, Fast food restaurant, Hamburger restaurant, Italian restaurant, Restaurant",12-11:30 pm,,Open All Days,"Ground Floor, A Wing, Apex Building, 93/A, 4th B Cross Rd, 5th Block, Koramangala, Bengaluru, Karnataka 560095","american cheese, ferrero rocher, all american, lamb burger, red velvet cake, tandoori chicken burger, paneer burger, american chicken burger, ready to wait, sloppy joe burger",https://www.google.com/maps/place/Truffles+Koramangala/data=!4m7!3m6!1s0x3bae1451d90b3e77:0x6297032c180f2bbd!8m2!3d12.9335313!4d77.6143168!16s%2Fg%2F1th1shdb!19sChIJdz4L2VEUrjsRvSsPGCwDl2I?authuser=0&hl=en&rclk=1,resturants in bangalore
